\         Composition, T_real,      z, nbands,     M_fit,   dM_fit+,   dM_fit-,  T_fit, dT_fit+, dT_fit-, beta_fit, dbeta_fit+, dbeta_fit-
E30R-70.0+BE-30.0-raw,  100.0,   0.00,      7, 2.190e+09, 1.104e+09, 8.310e+08, 137.12,   84.87,   47.58,     1.14,       0.16,       0.11
E30R-70.0+BE-30.0-raw,  100.0,   1.00,      7, 2.099e+09, 1.313e+09, 8.306e+08, 136.40,   88.01,   53.90,     1.19,       0.17,       0.11
E30R-70.0+BE-30.0-raw,  100.0,   2.00,      7, 1.823e+09, 1.418e+09, 7.020e+08, 152.52,  104.14,   66.43,     1.17,       0.19,       0.12
E30R-70.0+BE-30.0-raw,  100.0,   3.00,      7, 2.004e+09, 1.510e+09, 8.839e+08, 128.74,  106.10,   55.78,     1.26,       0.21,       0.14
E30R-70.0+BE-30.0-raw,  100.0,   4.00,      7, 2.784e+09, 9.305e+08, 8.438e+08,  87.72,   42.36,   23.54,     1.39,       0.22,       0.17
E30R-70.0+BE-30.0-raw,  100.0,   5.00,      6, 2.718e+09, 2.539e+09, 1.423e+09,  80.78,   89.90,   37.33,     1.51,       0.39,       0.23
E30R-70.0+BE-30.0-raw,  100.0,   6.00,      6, 3.062e+09, 1.378e+09, 1.417e+09,  69.26,   67.69,   21.12,     1.58,       0.32,       0.28
E30R-70.0+BE-30.0-raw,  100.0,   7.00,      5, 3.708e+09, 3.185e+09, 1.700e+09,  56.95,   44.05,   22.34,     1.74,       0.49,       0.34
E30R-70.0+BE-30.0-raw,   20.0,   0.00,      7, 1.723e+09, 1.355e+08, 1.252e+08,  19.57,    1.16,    1.08,     1.56,       0.17,       0.16
E30R-70.0+BE-30.0-raw,   20.0,   1.00,      6, 1.180e+09, 5.475e+08, 4.296e+08,  26.55,   13.36,    7.72,     1.14,       0.53,       0.43
E30R-70.0+BE-30.0-raw,   20.0,   2.00,      7, 1.613e+09, 2.071e+08, 1.937e+08,  20.15,    2.14,    1.75,     1.51,       0.25,       0.24
E30R-70.0+BE-30.0-raw,   20.0,   3.00,      7, 1.643e+09, 3.049e+08, 2.289e+08,  18.79,    1.61,    1.57,     1.73,       0.22,       0.20
E30R-70.0+BE-30.0-raw,   20.0,   4.00,      6, 1.397e+09, 9.199e+08, 4.992e+08,  19.77,    4.56,    2.74,     1.70,       0.26,       0.30
E30R-70.0+BE-30.0-raw,   20.0,   5.00,      6, 1.231e+09, 1.237e+09, 4.985e+08,  20.36,    3.95,    2.22,     1.63,       0.22,       0.30
E30R-70.0+BE-30.0-raw,   20.0,   6.00,      6, 4.995e+08, 4.229e+08, 1.981e+08,  21.94,    2.47,    1.41,     1.45,       0.15,       0.20
E30R-70.0+BE-30.0-raw,   25.0,   0.00,      7, 1.738e+09, 1.515e+08, 1.410e+08,  24.50,    2.00,    1.54,     1.54,       0.16,       0.17
E30R-70.0+BE-30.0-raw,   25.0,   1.00,      7, 1.520e+09, 3.115e+08, 2.874e+08,  27.18,    5.80,    4.46,     1.41,       0.31,       0.28
E30R-70.0+BE-30.0-raw,   25.0,   2.00,      7, 1.604e+09, 2.287e+08, 2.155e+08,  25.62,    4.13,    3.18,     1.49,       0.28,       0.28
E30R-70.0+BE-30.0-raw,   25.0,   3.00,      7, 1.634e+09, 2.605e+08, 2.281e+08,  23.31,    2.50,    2.20,     1.71,       0.21,       0.20
E30R-70.0+BE-30.0-raw,   25.0,   4.00,      6, 1.429e+09, 9.515e+08, 5.907e+08,  24.24,   10.27,    5.06,     1.70,       0.35,       0.40
E30R-70.0+BE-30.0-raw,   25.0,   5.00,      6, 1.809e+09, 1.891e+09, 7.131e+08,  22.07,    5.58,    3.19,     1.84,       0.26,       0.34
E30R-70.0+BE-30.0-raw,   25.0,   6.00,      6, 1.625e+09, 1.304e+09, 5.605e+08,  24.04,    4.03,    2.66,     1.68,       0.23,       0.29
E30R-70.0+BE-30.0-raw,   25.0,   7.00,      5, 1.079e+09, 2.021e+09, 5.355e+08,  26.02,    6.22,    2.96,     1.56,       0.23,       0.29
E30R-70.0+BE-30.0-raw,   30.0,   0.00,      7, 1.824e+09, 1.765e+08, 1.737e+08,  29.49,    2.80,    2.40,     1.50,       0.16,       0.16
E30R-70.0+BE-30.0-raw,   30.0,   1.00,      7, 1.531e+09, 3.290e+08, 3.530e+08,  33.87,   11.27,    6.11,     1.35,       0.30,       0.32
E30R-70.0+BE-30.0-raw,   30.0,   2.00,      7, 1.477e+09, 3.913e+08, 3.270e+08,  34.05,   10.05,    6.63,     1.38,       0.30,       0.28
E30R-70.0+BE-30.0-raw,   30.0,   3.00,      7, 1.709e+09, 2.735e+08, 2.425e+08,  27.82,    3.45,    2.95,     1.67,       0.20,       0.20
E30R-70.0+BE-30.0-raw,   30.0,   4.00,      6, 1.339e+09, 7.876e+08, 5.225e+08,  31.66,   15.31,    8.29,     1.59,       0.39,       0.33
E30R-70.0+BE-30.0-raw,   30.0,   5.00,      6, 1.670e+09, 9.775e+08, 5.513e+08,  26.90,    8.12,    5.14,     1.79,       0.33,       0.35
E30R-70.0+BE-30.0-raw,   30.0,   6.00,      6, 1.918e+09, 1.443e+09, 6.042e+08,  26.00,    5.38,    3.45,     1.81,       0.25,       0.30
E30R-70.0+BE-30.0-raw,   30.0,   7.00,      5, 1.608e+09, 2.401e+09, 6.595e+08,  28.24,    7.21,    4.19,     1.71,       0.25,       0.31
E30R-70.0+BE-30.0-raw,   35.0,   0.00,      7, 1.913e+09, 1.931e+08, 1.917e+08,  34.11,    4.19,    3.03,     1.49,       0.16,       0.17
E30R-70.0+BE-30.0-raw,   35.0,   1.00,      7, 1.552e+09, 3.614e+08, 4.259e+08,  41.17,   17.25,    7.99,     1.31,       0.26,       0.28
E30R-70.0+BE-30.0-raw,   35.0,   2.00,      7, 1.535e+09, 3.972e+08, 4.097e+08,  40.99,   16.53,    8.48,     1.31,       0.28,       0.30
E30R-70.0+BE-30.0-raw,   35.0,   3.00,      7, 1.455e+09, 6.957e+08, 5.328e+08,  38.01,   18.09,    9.57,     1.51,       0.26,       0.26
E30R-70.0+BE-30.0-raw,   35.0,   4.00,      6, 1.249e+09, 1.077e+09, 6.337e+08,  39.88,   35.32,   14.58,     1.53,       0.47,       0.35
E30R-70.0+BE-30.0-raw,   35.0,   5.00,      6, 1.738e+09, 8.367e+08, 5.124e+08,  30.33,    8.95,    6.06,     1.79,       0.33,       0.31
E30R-70.0+BE-30.0-raw,   35.0,   6.00,      6, 2.094e+09, 1.316e+09, 6.706e+08,  28.21,    6.20,    4.72,     1.89,       0.31,       0.30
E30R-70.0+BE-30.0-raw,   35.0,   7.00,      5, 1.797e+09, 1.738e+09, 7.112e+08,  31.11,   10.15,    5.31,     1.76,       0.25,       0.35
E30R-70.0+BE-30.0-raw,   40.0,   0.00,      7, 1.929e+09, 2.463e+08, 2.229e+08,  40.45,    5.94,    4.58,     1.42,       0.17,       0.15
E30R-70.0+BE-30.0-raw,   40.0,   1.00,      7, 1.577e+09, 4.360e+08, 5.122e+08,  47.43,   24.68,   10.84,     1.32,       0.26,       0.29
E30R-70.0+BE-30.0-raw,   40.0,   2.00,      7, 1.620e+09, 3.966e+08, 4.183e+08,  46.29,   17.59,   10.20,     1.33,       0.27,       0.26
E30R-70.0+BE-30.0-raw,   40.0,   3.00,      7, 1.626e+09, 7.030e+08, 5.694e+08,  40.57,   19.30,    9.82,     1.55,       0.25,       0.27
E30R-70.0+BE-30.0-raw,   40.0,   4.00,      7, 1.746e+09, 5.334e+08, 4.356e+08,  36.32,   10.15,    6.52,     1.68,       0.23,       0.25
E30R-70.0+BE-30.0-raw,   40.0,   5.00,      6, 1.712e+09, 7.195e+08, 6.137e+08,  35.71,   16.89,    7.96,     1.72,       0.34,       0.35
E30R-70.0+BE-30.0-raw,   40.0,   6.00,      6, 2.064e+09, 9.242e+08, 5.510e+08,  31.61,    8.16,    5.24,     1.86,       0.28,       0.31
E30R-70.0+BE-30.0-raw,   40.0,   7.00,      5, 2.043e+09, 1.623e+09, 7.584e+08,  32.66,   10.94,    5.99,     1.83,       0.29,       0.33
E30R-70.0+BE-30.0-raw,   45.0,   0.00,      7, 1.998e+09, 2.818e+08, 2.817e+08,  45.91,    8.71,    5.81,     1.39,       0.17,       0.17
E30R-70.0+BE-30.0-raw,   45.0,   1.00,      7, 1.574e+09, 5.362e+08, 5.903e+08,  56.16,   34.99,   14.03,     1.28,       0.25,       0.25
E30R-70.0+BE-30.0-raw,   45.0,   2.00,      7, 1.564e+09, 4.681e+08, 4.846e+08,  57.02,   27.00,   14.71,     1.25,       0.28,       0.24
E30R-70.0+BE-30.0-raw,   45.0,   3.00,      7, 1.670e+09, 6.149e+08, 4.921e+08,  46.81,   18.06,   11.50,     1.51,       0.24,       0.22
E30R-70.0+BE-30.0-raw,   45.0,   4.00,      7, 1.914e+09, 5.473e+08, 4.205e+08,  39.07,    9.79,    7.28,     1.68,       0.24,       0.23
E30R-70.0+BE-30.0-raw,   45.0,   5.00,      6, 1.804e+09, 9.555e+08, 6.155e+08,  38.86,   18.66,   10.22,     1.71,       0.38,       0.31
E30R-70.0+BE-30.0-raw,   45.0,   6.00,      6, 2.141e+09, 1.042e+09, 6.500e+08,  34.64,   11.20,    7.00,     1.85,       0.34,       0.32
E30R-70.0+BE-30.0-raw,   45.0,   7.00,      5, 2.118e+09, 1.387e+09, 7.197e+08,  35.05,   12.00,    6.53,     1.86,       0.29,       0.35
E30R-70.0+BE-30.0-raw,   50.0,   0.00,      7, 2.048e+09, 3.371e+08, 3.057e+08,  52.19,   10.17,    7.75,     1.36,       0.16,       0.16
E30R-70.0+BE-30.0-raw,   50.0,   1.00,      7, 1.476e+09, 6.155e+08, 5.952e+08,  69.36,   50.59,   20.42,     1.23,       0.23,       0.23
