\         Composition, T_real,      z, nbands,     M_fit,   dM_fit+,   dM_fit-,  T_fit, dT_fit+, dT_fit-, beta_fit, dbeta_fit+, dbeta_fit-
E30R-70.0+BE-30.0-red,  100.0,   0.00,      7, 6.821e+08, 2.900e+08, 2.382e+08, 117.66,   65.27,   36.78,     1.35,       0.16,       0.12
E30R-70.0+BE-30.0-red,  100.0,   1.00,      7, 6.614e+08, 4.128e+08, 2.757e+08, 113.30,   79.69,   43.24,     1.43,       0.19,       0.13
E30R-70.0+BE-30.0-red,  100.0,   2.00,      7, 6.009e+08, 3.077e+08, 2.394e+08, 124.08,   84.10,   44.15,     1.39,       0.19,       0.14
E30R-70.0+BE-30.0-red,  100.0,   3.00,      7, 5.915e+08, 4.388e+08, 2.722e+08, 116.96,   94.12,   49.53,     1.47,       0.21,       0.14
E30R-70.0+BE-30.0-red,  100.0,   4.00,      7, 8.192e+08, 2.935e+08, 3.044e+08,  78.61,   53.35,   21.97,     1.62,       0.23,       0.23
E30R-70.0+BE-30.0-red,  100.0,   5.00,      6, 9.405e+08, 6.195e+08, 3.750e+08,  63.01,   39.61,   22.63,     1.82,       0.35,       0.24
E30R-70.0+BE-30.0-red,  100.0,   6.00,      6, 1.072e+09, 5.185e+08, 4.717e+08,  53.61,   44.72,   15.51,     1.91,       0.37,       0.34
E30R-70.0+BE-30.0-red,  100.0,   7.00,      5, 1.120e+09, 7.945e+08, 5.071e+08,  50.36,   34.55,   15.54,     2.02,       0.37,       0.35
E30R-70.0+BE-30.0-red,   20.0,   0.00,      7, 4.737e+08, 3.747e+07, 3.435e+07,  19.03,    1.09,    0.99,     1.82,       0.17,       0.16
E30R-70.0+BE-30.0-red,   20.0,   1.00,      6, 3.439e+08, 1.323e+08, 1.226e+08,  24.49,   12.15,    5.84,     1.43,       0.46,       0.43
E30R-70.0+BE-30.0-red,   20.0,   2.00,      7, 4.558e+08, 5.592e+07, 5.427e+07,  19.38,    2.03,    1.79,     1.78,       0.27,       0.24
E30R-70.0+BE-30.0-red,   20.0,   3.00,      7, 4.698e+08, 8.791e+07, 6.670e+07,  18.12,    1.56,    1.46,     2.00,       0.21,       0.21
E30R-70.0+BE-30.0-red,   20.0,   4.00,      6, 4.298e+08, 3.186e+08, 1.590e+08,  18.85,    4.01,    2.54,     1.96,       0.27,       0.30
E30R-70.0+BE-30.0-red,   20.0,   5.00,      6, 3.896e+08, 3.054e+08, 1.641e+08,  19.75,    3.42,    1.62,     1.85,       0.18,       0.26
E30R-70.0+BE-30.0-red,   20.0,   6.00,      6, 1.522e+08, 1.351e+08, 6.401e+07,  21.66,    2.48,    1.31,     1.63,       0.14,       0.19
E30R-70.0+BE-30.0-red,   25.0,   0.00,      7, 4.880e+08, 3.972e+07, 3.761e+07,  23.48,    1.74,    1.49,     1.81,       0.16,       0.16
E30R-70.0+BE-30.0-red,   25.0,   1.00,      6, 2.521e+08, 2.059e+08, 1.347e+08,  41.37,   43.34,   17.31,     1.27,       0.53,       0.38
E30R-70.0+BE-30.0-red,   25.0,   2.00,      7, 4.544e+08, 6.035e+07, 5.973e+07,  24.44,    3.61,    2.84,     1.75,       0.28,       0.26
E30R-70.0+BE-30.0-red,   25.0,   3.00,      7, 4.625e+08, 7.344e+07, 6.166e+07,  22.41,    2.32,    2.00,     1.96,       0.21,       0.20
E30R-70.0+BE-30.0-red,   25.0,   4.00,      6, 4.297e+08, 2.486e+08, 1.377e+08,  22.95,    5.67,    4.11,     1.99,       0.31,       0.30
E30R-70.0+BE-30.0-red,   25.0,   5.00,      6, 5.269e+08, 3.849e+08, 1.976e+08,  21.65,    4.45,    2.67,     2.07,       0.25,       0.31
E30R-70.0+BE-30.0-red,   25.0,   6.00,      6, 4.980e+08, 3.353e+08, 1.911e+08,  23.29,    3.75,    1.93,     1.90,       0.19,       0.26
E30R-70.0+BE-30.0-red,   25.0,   7.00,      5, 3.040e+08, 4.511e+08, 1.405e+08,  25.94,    5.16,    2.67,     1.74,       0.20,       0.26
E30R-70.0+BE-30.0-red,   30.0,   0.00,      7, 5.128e+08, 4.829e+07, 4.426e+07,  28.19,    2.57,    2.13,     1.76,       0.16,       0.16
E30R-70.0+BE-30.0-red,   30.0,   1.00,      7, 4.231e+08, 1.072e+08, 9.260e+07,  32.89,    8.68,    6.46,     1.59,       0.30,       0.26
E30R-70.0+BE-30.0-red,   30.0,   2.00,      7, 4.580e+08, 7.705e+07, 7.652e+07,  29.97,    6.81,    4.28,     1.69,       0.28,       0.28
E30R-70.0+BE-30.0-red,   30.0,   3.00,      7, 4.840e+08, 8.063e+07, 6.983e+07,  26.40,    3.43,    2.69,     1.93,       0.21,       0.19
E30R-70.0+BE-30.0-red,   30.0,   4.00,      6, 3.862e+08, 2.229e+08, 1.405e+08,  29.68,   11.93,    7.17,     1.86,       0.36,       0.31
E30R-70.0+BE-30.0-red,   30.0,   5.00,      6, 5.191e+08, 3.035e+08, 1.744e+08,  24.83,    6.68,    3.95,     2.08,       0.32,       0.32
E30R-70.0+BE-30.0-red,   30.0,   6.00,      6, 5.677e+08, 3.608e+08, 1.950e+08,  25.37,    4.63,    3.02,     2.03,       0.23,       0.27
E30R-70.0+BE-30.0-red,   30.0,   7.00,      5, 4.598e+08, 3.242e+08, 1.824e+08,  28.33,    6.20,    3.18,     1.87,       0.20,       0.29
E30R-70.0+BE-30.0-red,   35.0,   0.00,      7, 5.315e+08, 5.389e+07, 5.030e+07,  33.09,    3.58,    3.06,     1.71,       0.17,       0.15
E30R-70.0+BE-30.0-red,   35.0,   1.00,      7, 4.387e+08, 1.183e+08, 1.093e+08,  38.63,   13.12,    8.16,     1.57,       0.30,       0.26
E30R-70.0+BE-30.0-red,   35.0,   2.00,      7, 4.754e+08, 8.884e+07, 8.961e+07,  35.08,    8.98,    5.71,     1.67,       0.26,       0.27
E30R-70.0+BE-30.0-red,   35.0,   3.00,      7, 5.007e+08, 8.756e+07, 8.137e+07,  31.11,    5.00,    3.92,     1.87,       0.21,       0.20
E30R-70.0+BE-30.0-red,   35.0,   4.00,      6, 4.166e+08, 2.372e+08, 1.629e+08,  33.70,   16.47,    8.96,     1.87,       0.33,       0.32
E30R-70.0+BE-30.0-red,   35.0,   5.00,      6, 5.328e+08, 3.351e+08, 1.809e+08,  27.98,    9.22,    5.85,     2.09,       0.37,       0.35
E30R-70.0+BE-30.0-red,   35.0,   6.00,      6, 6.142e+08, 3.697e+08, 1.914e+08,  27.17,    6.47,    3.69,     2.10,       0.27,       0.31
E30R-70.0+BE-30.0-red,   35.0,   7.00,      5, 4.924e+08, 3.901e+08, 1.664e+08,  31.19,    7.81,    4.72,     1.93,       0.23,       0.30
E30R-70.0+BE-30.0-red,   40.0,   0.00,      7, 5.592e+08, 6.313e+07, 6.424e+07,  38.01,    5.19,    4.13,     1.66,       0.17,       0.16
E30R-70.0+BE-30.0-red,   40.0,   1.00,      7, 3.508e+08, 1.517e+08, 1.619e+08,  58.57,   49.64,   18.18,     1.34,       0.31,       0.28
