wavenumber(cm-1),absorption_coefficient(none),err,quality
10.0039,0.6083,0,
10.1245,0.6247,0,
10.2450,0.6408,0,
10.3655,0.6565,0,
10.4861,0.6720,0,
10.6066,0.6874,0,
10.7271,0.7031,0,
10.8476,0.7194,0,
10.9682,0.7366,0,
11.0887,0.7546,0,
11.2092,0.7737,0,
11.3298,0.7933,0,
11.4503,0.8125,0,
11.5708,0.8308,0,
11.6913,0.8481,0,
11.8119,0.8646,0,
11.9324,0.8805,0,
12.0529,0.8962,0,
12.1735,0.9120,0,
12.2940,0.9277,0,
12.4145,0.9429,0,
12.5351,0.9573,0,
12.6556,0.9707,0,
12.7761,0.9836,0,
12.8966,0.9963,0,
13.0172,1.0096,0,
13.1377,1.0240,0,
13.2582,1.0400,0,
13.3788,1.0577,0,
13.4993,1.0768,0,
13.6198,1.0974,0,
13.7403,1.1193,0,
13.8609,1.1426,0,
13.9814,1.1672,0,
14.1019,1.1934,0,
14.2225,1.2214,0,
14.3430,1.2512,0,
14.4635,1.2828,0,
14.5840,1.3160,0,
14.7046,1.3501,0,
14.8251,1.3845,0,
14.9456,1.4187,0,
15.0662,1.4526,0,
15.1867,1.4864,0,
15.3072,1.5203,0,
15.4277,1.5549,0,
15.5483,1.5900,0,
15.6688,1.6255,0,
15.7893,1.6607,0,
15.9099,1.6951,0,
16.0304,1.7284,0,
16.1509,1.7610,0,
16.2715,1.7931,0,
16.3920,1.8254,0,
16.5125,1.8582,0,
16.6331,1.8915,0,
16.7536,1.9251,0,
16.8741,1.9591,0,
16.9946,1.9933,0,
17.1152,2.0279,0,
17.2357,2.0633,0,
17.3562,2.1000,0,
17.4767,2.1386,0,
17.5973,2.1795,0,
17.7178,2.2230,0,
17.8383,2.2690,0,
17.9589,2.3168,0,
18.0794,2.3660,0,
18.1999,2.4160,0,
18.3205,2.4663,0,
18.4410,2.5169,0,
18.5615,2.5677,0,
18.6821,2.6187,0,
18.8026,2.6694,0,
18.9231,2.7193,0,
19.0436,2.7678,0,
19.1642,2.8143,0,
19.2847,2.8587,0,
19.4052,2.9012,0,
19.5257,2.9425,0,
19.6463,2.9832,0,
19.7668,3.0239,0,
19.8873,3.0650,0,
20.0079,3.1067,0,
20.1284,3.1489,0,
20.2489,3.1916,0,
20.3695,3.2353,0,
20.4900,3.2803,0,
20.6105,3.3270,0,
20.7310,3.3756,0,
20.8516,3.4262,0,
20.9721,3.4787,0,
21.0926,3.5330,0,
21.2132,3.5888,0,
21.3337,3.6460,0,
21.4542,3.7041,0,
21.5748,3.7633,0,
21.6953,3.8237,0,
21.8158,3.8855,0,
21.9363,3.9493,0,
22.0569,4.0153,0,
22.1774,4.0836,0,
22.2979,4.1540,0,
22.4184,4.2264,0,
22.5390,4.3004,0,
22.6595,4.3762,0,
22.7800,4.4538,0,
22.9006,4.5335,0,
23.0211,4.6156,0,
23.1416,4.6999,0,
23.2622,4.7859,0,
23.3827,4.8731,0,
23.5032,4.9607,0,
23.6238,5.0484,0,
23.7443,5.1360,0,
23.8648,5.2238,0,
23.9853,5.3121,0,
24.1059,5.4010,0,
24.2264,5.4909,0,
24.3469,5.5816,0,
24.4674,5.6731,0,
24.5880,5.7653,0,
24.7085,5.8578,0,
24.8290,5.9508,0,
24.9496,6.0442,0,
25.0701,6.2598,0,
25.1906,6.3457,0,
25.3112,6.4319,0,
25.4317,6.5182,0,
25.5522,6.6045,0,
25.6728,6.6913,0,
25.7933,6.7774,0,
25.9138,6.8629,0,
26.0343,6.9475,0,
26.1549,7.0327,0,
