wavenumber(cm-1),absorption_coefficient(none),err,quality
10.0039,1.8699,0,
10.1245,1.8626,0,
10.2450,1.8597,0,
10.3655,1.8599,0,
10.4861,1.8617,0,
10.6066,1.8637,0,
10.7271,1.8653,0,
10.8476,1.8666,0,
10.9682,1.8679,0,
11.0887,1.8697,0,
11.2092,1.8725,0,
11.3298,1.8766,0,
11.4503,1.8816,0,
11.5708,1.8870,0,
11.6913,1.8923,0,
11.8119,1.8974,0,
11.9324,1.9027,0,
12.0529,1.9085,0,
12.1735,1.9156,0,
12.2940,1.9241,0,
12.4145,1.9342,0,
12.5351,1.9457,0,
12.6556,1.9584,0,
12.7761,1.9726,0,
12.8966,1.9890,0,
13.0172,2.0086,0,
13.1377,2.0319,0,
13.2582,2.0593,0,
13.3788,2.0901,0,
13.4993,2.1232,0,
13.6198,2.1573,0,
13.7403,2.1911,0,
13.8609,2.2240,0,
13.9814,2.2562,0,
14.1019,2.2886,0,
14.2225,2.3223,0,
14.3430,2.3582,0,
14.4635,2.3965,0,
14.5840,2.4365,0,
14.7046,2.4767,0,
14.8251,2.5154,0,
14.9456,2.5514,0,
15.0662,2.5846,0,
15.1867,2.6157,0,
15.3072,2.6457,0,
15.4277,2.6759,0,
15.5483,2.7071,0,
15.6688,2.7397,0,
15.7893,2.7732,0,
15.9099,2.8072,0,
16.0304,2.8410,0,
16.1509,2.8741,0,
16.2715,2.9066,0,
16.3920,2.9385,0,
16.5125,2.9699,0,
16.6331,3.0008,0,
16.7536,3.0310,0,
16.8741,3.0603,0,
16.9946,3.0886,0,
17.1152,3.1159,0,
17.2357,3.1425,0,
17.3562,3.1687,0,
17.4767,3.1948,0,
17.5973,3.2208,0,
17.7178,3.2466,0,
17.8383,3.2723,0,
17.9589,3.2981,0,
18.0794,3.3249,0,
18.1999,3.3538,0,
18.3205,3.3863,0,
18.4410,3.4234,0,
18.5615,3.4659,0,
18.6821,3.5135,0,
18.8026,3.5655,0,
18.9231,3.6207,0,
19.0436,3.6779,0,
19.1642,3.7365,0,
19.2847,3.7965,0,
19.4052,3.8581,0,
19.5257,3.9222,0,
19.6463,3.9892,0,
19.7668,4.0592,0,
19.8873,4.1318,0,
20.0079,4.2060,0,
20.1284,4.2806,0,
20.2489,4.3549,0,
20.3695,4.4283,0,
20.4900,4.5012,0,
20.6105,4.5741,0,
20.7310,4.6478,0,
20.8516,4.7229,0,
20.9721,4.7997,0,
21.0926,4.8783,0,
21.2132,4.9586,0,
21.3337,5.0403,0,
21.4542,5.1235,0,
21.5748,5.2078,0,
21.6953,5.2929,0,
21.8158,5.3780,0,
21.9363,5.4623,0,
22.0569,5.5454,0,
22.1774,5.6274,0,
22.2979,5.7086,0,
22.4184,5.7896,0,
22.5390,5.8706,0,
22.6595,5.9517,0,
22.7800,6.0328,0,
22.9006,6.1132,0,
23.0211,6.1923,0,
23.1416,6.2696,0,
23.2622,6.3450,0,
23.3827,6.4188,0,
23.5032,6.4922,0,
23.6238,6.5664,0,
23.7443,6.6430,0,
23.8648,6.7228,0,
23.9853,6.8064,0,
24.1059,6.8938,0,
24.2264,6.9844,0,
24.3469,7.0779,0,
24.4674,7.1738,0,
24.5880,7.2721,0,
24.7085,7.3730,0,
24.8290,7.4772,0,
24.9496,7.5850,0,
25.0701,7.6969,0,
25.1906,7.8129,0,
25.3112,7.9326,0,
25.4317,8.0554,0,
25.5522,8.1805,0,
25.6728,8.3073,0,
25.7933,8.4353,0,
25.9138,8.5643,0,
26.0343,8.6943,0,
26.1549,8.8251,0,
26.2754,8.9568,0,
26.3959,9.0897,0,
26.5164,9.2240,0,
26.6370,9.3602,0,
26.7575,9.4984,0,
26.8780,9.6387,0,
26.9986,9.7805,0,
27.1191,10.1605,0,
27.2396,10.3031,0,
27.3602,10.4451,0,
27.4807,10.5863,0,
27.6012,10.7292,0,
27.7218,10.8717,0,
27.8423,11.0144,0,
27.9628,11.1575,0,
28.0833,11.3029,0,
28.2039,11.4482,0,
28.3244,11.5929,0,
28.4449,11.7368,0,
28.5654,11.8819,0,
28.6860,12.0265,0,
28.8065,12.1709,0,
28.9270,12.3156,0,
29.0476,12.4627,0,
29.1681,12.6109,0,
29.2886,12.7604,0,
29.4092,12.9113,0,
29.5297,13.0648,0,
29.6502,13.2192,0,
29.7707,13.3742,0,
29.8913,13.5297,0,
30.3759,14.5970,0,
30.8580,15.2677,0,
31.3402,15.9440,0,
31.8224,16.6255,0,
32.3045,17.3122,0,
32.7867,18.0080,0,
33.2688,18.7169,0,
33.7510,19.4336,0,
34.2331,20.1529,0,
34.7153,20.8756,0,
35.1975,21.6030,0,
35.6796,22.3387,0,
36.1618,23.0857,0,
36.6439,23.8418,0,
37.1261,24.6010,0,
37.6082,25.3601,0,
38.0904,26.1237,0,
38.5726,26.8936,0,
