wavenumber(cm-1),absorption_coefficient(none),err,quality
10.1253,3.4873,0,
10.6075,3.7175,0,
11.0896,3.9787,0,
11.5718,4.2704,0,
12.0539,4.5895,0,
12.5361,4.9323,0,
13.0182,5.2947,0,
13.5004,5.6722,0,
13.9825,6.0604,0,
14.4647,6.4549,0,
14.9469,6.8522,0,
15.4290,7.2488,0,
15.9112,7.6424,0,
16.3933,8.0309,0,
16.8755,8.4149,0,
17.3576,8.7974,0,
17.8398,9.1812,0,
18.3220,9.5682,0,
18.8041,9.9611,0,
19.2863,10.3635,0,
19.7684,10.7791,0,
20.2506,11.2104,0,
20.7327,11.6597,0,
21.2149,12.1286,0,
21.6971,12.6179,0,
22.1792,13.1280,0,
22.6614,13.6565,0,
23.1435,14.2028,0,
23.6257,14.7690,0,
24.1078,15.3534,0,
24.5900,15.9423,0,
25.0722,16.5278,0,
25.5543,17.1128,0,
26.0365,17.7071,0,
26.5186,18.3139,0,
27.0008,18.9335,0,
27.4829,19.5637,0,
27.9651,20.2010,0,
28.4473,20.8465,0,
28.9294,21.5045,0,
29.4116,22.1763,0,
29.8937,22.8613,0,
30.3759,23.5590,0,
30.8580,24.2672,0,
31.3402,24.9858,0,
31.8224,25.7157,0,
32.3045,26.4534,0,
32.7867,27.1954,0,
33.2688,27.9398,0,
33.7510,28.6836,0,
34.2331,29.4264,0,
34.7153,30.1694,0,
35.1975,30.9085,0,
35.6796,31.6450,0,
36.1618,32.3795,0,
36.6439,33.1116,0,
37.1261,33.8417,0,
37.6082,34.5714,0,
38.0904,35.3015,0,
38.5726,36.0325,0,
39.0547,36.7663,0,
39.5369,37.5041,0,
40.0190,38.2507,0,
40.5012,39.0052,0,
40.9833,39.7624,0,
41.4655,40.5211,0,
41.9477,41.2835,0,
42.4298,42.0530,0,
42.9120,42.8295,0,
43.3941,43.6115,0,
43.8763,44.4005,0,
44.3584,45.1975,0,
44.8406,46.0024,0,
45.3227,47.3731,0,
45.8049,47.8114,0,
46.2871,48.7038,0,
46.7692,49.6123,0,
47.2514,50.4340,0,
47.7335,51.4960,0,
48.2157,52.0827,0,
48.6979,52.4149,0,
49.1800,53.1223,0,
49.6622,53.8695,0,
50.1443,54.8950,0,
50.6265,56.0734,0,
51.1086,56.7294,0,
51.5908,57.5431,0,
52.0729,58.6379,0,
53.0373,59.4181,0,
53.5194,60.3328,0,
54.0016,60.9699,0,
54.4837,62.0239,0,
54.9659,62.8825,0,
55.4481,63.3892,0,
55.9302,64.6792,0,
56.4124,65.3772,0,
56.8945,65.7643,0,
57.3767,66.8825,0,
57.8588,67.4945,0,
58.3410,68.2150,0,
58.8231,69.3170,0,
59.3053,69.7016,0,
59.7875,70.5574,0,
60.2696,71.7786,0,
60.7518,72.2150,0,
61.2339,73.0783,0,
61.7161,74.1027,0,
62.1983,74.6385,0,
62.6804,75.7651,0,
63.1626,76.7340,0,
63.6447,77.2821,0,
64.1269,78.3904,0,
64.6090,79.2798,0,
65.0912,80.1267,0,
65.5734,81.4253,0,
66.0555,81.9763,0,
66.5377,82.4149,0,
67.0198,83.4042,0,
67.5020,83.9842,0,
67.9841,84.9836,0,
68.4663,86.3331,0,
68.9484,86.8050,0,
