wavenumber(cm-1),absorption_coefficient(none),err,quality
10.0039,3.6728,0,
10.1245,3.7516,0,
10.2450,3.8314,0,
10.3655,3.9122,0,
10.4861,3.9939,0,
10.6066,4.0765,0,
10.7271,4.1599,0,
10.8476,4.2442,0,
10.9682,4.3293,0,
11.0887,4.4154,0,
11.2092,4.5025,0,
11.3298,4.5908,0,
11.4503,4.6802,0,
11.5708,4.7708,0,
11.6913,4.8627,0,
11.8119,4.9558,0,
11.9324,5.0503,0,
12.0529,5.1460,0,
12.1735,5.2431,0,
12.2940,5.3415,0,
12.4145,5.4412,0,
12.5351,5.5423,0,
12.6556,5.6447,0,
12.7761,5.7483,0,
12.8966,5.8532,0,
13.0172,5.9594,0,
13.1377,6.0667,0,
13.2582,6.1753,0,
13.3788,6.2852,0,
13.4993,6.3963,0,
13.6198,6.5087,0,
13.7403,6.6224,0,
13.8609,6.7374,0,
13.9814,6.8536,0,
14.1019,6.9712,0,
14.2225,7.0899,0,
14.3430,7.2099,0,
14.4635,7.3310,0,
14.5840,7.4534,0,
14.7046,7.5770,0,
14.8251,7.7019,0,
14.9456,7.8280,0,
15.0662,7.9555,0,
15.1867,8.0841,0,
15.3072,8.2140,0,
15.4277,8.3450,0,
15.5483,8.4771,0,
15.6688,8.6105,0,
15.7893,8.7451,0,
15.9099,8.8810,0,
16.0304,9.0182,0,
16.1509,9.1569,0,
16.2715,9.2970,0,
16.3920,9.4386,0,
16.5125,9.5815,0,
16.6331,9.7259,0,
16.7536,9.8716,0,
16.8741,10.0188,0,
16.9946,10.1672,0,
17.1152,10.3169,0,
17.2357,10.4678,0,
17.3562,10.6198,0,
17.4767,10.7728,0,
17.5973,10.9266,0,
17.7178,11.0812,0,
17.8383,11.2363,0,
17.9589,11.3919,0,
18.0794,11.5553,0,
18.1999,11.7190,0,
18.3205,11.8829,0,
18.4410,12.0470,0,
18.5615,12.2116,0,
18.6821,12.3765,0,
18.8026,12.5419,0,
18.9231,12.7079,0,
19.0436,12.8745,0,
19.1642,13.0418,0,
19.2847,13.2099,0,
19.4052,13.3789,0,
19.5257,13.5488,0,
19.6463,13.7197,0,
19.7668,13.8916,0,
19.8873,14.0646,0,
20.0079,14.2385,0,
20.1284,14.4222,0,
20.2489,14.6118,0,
20.3695,14.8074,0,
20.4900,15.0090,0,
20.6105,15.2171,0,
20.7310,15.4318,0,
20.8516,15.6535,0,
20.9721,15.8825,0,
21.0926,16.1191,0,
21.2132,16.3635,0,
21.3337,16.6161,0,
21.4542,16.8773,0,
21.5748,17.1475,0,
21.6953,17.4272,0,
21.8158,17.7164,0,
21.9363,18.0151,0,
22.1792,18.3159,0,
22.4203,18.6263,0,
22.6614,18.9462,0,
22.9025,19.2756,0,
23.1435,19.6144,0,
23.3846,19.9625,0,
23.6257,20.3200,0,
23.8668,20.6866,0,
24.1078,21.0622,0,
24.3489,21.4471,0,
24.5900,21.8417,0,
24.8311,22.2463,0,
25.0722,22.6611,0,
25.3132,23.0867,0,
25.5543,23.5237,0,
25.7954,23.9725,0,
26.0365,24.4337,0,
26.2776,24.8989,0,
26.5186,25.3725,0,
26.7597,25.8553,0,
27.0008,26.3474,0,
27.2419,26.8488,0,
27.4829,27.3590,0,
27.7240,27.8776,0,
27.9651,28.4044,0,
28.2062,28.9390,0,
28.4473,29.4808,0,
