wavenumber(cm-1),absorption_coefficient(none),err,quality
10.0039,5.8240,0,
10.1245,5.8996,0,
10.2450,5.9756,0,
10.3655,6.0520,0,
10.4861,6.1288,0,
10.6066,6.2060,0,
10.7271,6.2836,0,
10.8476,6.3618,0,
10.9682,6.4405,0,
11.0887,6.5198,0,
11.2092,6.5997,0,
11.3298,6.6803,0,
11.4503,6.7617,0,
11.5708,6.8438,0,
11.6913,6.9267,0,
11.8119,7.0105,0,
11.9324,7.0952,0,
12.0529,7.1808,0,
12.1735,7.2675,0,
12.2940,7.3554,0,
12.4145,7.4446,0,
12.5351,7.5353,0,
12.6556,7.6278,0,
12.7761,7.7220,0,
12.8966,7.8183,0,
13.0172,7.9166,0,
13.1377,8.0173,0,
13.2582,8.1202,0,
13.3788,8.2256,0,
13.4993,8.3333,0,
13.6198,8.4434,0,
13.7403,8.5558,0,
13.8609,8.6702,0,
13.9814,8.7865,0,
14.1019,8.9043,0,
14.2225,9.0235,0,
14.3430,9.1437,0,
14.4635,9.2647,0,
14.5840,9.3863,0,
14.7046,9.5084,0,
14.8251,9.6309,0,
14.9456,9.7535,0,
15.0662,9.8762,0,
15.1867,9.9989,0,
15.3072,10.1214,0,
15.4277,10.2436,0,
15.5483,10.3653,0,
15.6688,10.4865,0,
15.7893,10.6070,0,
15.9099,10.7268,0,
16.0304,10.8456,0,
16.1509,10.9633,0,
16.2715,11.0797,0,
16.3920,11.1946,0,
16.5125,11.3079,0,
16.6331,11.4193,0,
16.7536,11.5289,0,
16.8741,11.6366,0,
16.9946,11.7424,0,
17.1152,11.8465,0,
17.2357,11.9490,0,
17.3562,12.0500,0,
17.4767,12.1498,0,
17.5973,12.2487,0,
17.7178,12.3467,0,
17.8383,12.4443,0,
17.9589,12.5418,0,
18.0794,12.6393,0,
18.1999,12.7373,0,
18.3205,12.8360,0,
18.4410,12.9357,0,
18.5615,13.0365,0,
18.6821,13.1387,0,
18.8026,13.2422,0,
18.9231,13.3473,0,
19.0436,13.4540,0,
19.1642,13.5622,0,
19.2847,13.6719,0,
19.4052,13.7834,0,
19.5257,13.8965,0,
19.6463,14.0114,0,
19.7668,14.1280,0,
19.8873,14.2465,0,
20.0079,14.3669,0,
20.1284,14.4891,0,
20.2489,14.6133,0,
20.3695,14.7394,0,
20.4900,14.8674,0,
20.6105,14.9974,0,
20.7310,15.1293,0,
20.8516,15.2629,0,
20.9721,15.3984,0,
21.0926,15.5354,0,
21.2132,15.6739,0,
21.3337,15.8136,0,
21.4542,15.9544,0,
21.5748,16.0961,0,
21.6953,16.2384,0,
21.8158,16.3813,0,
21.9363,16.5246,0,
22.0569,16.6681,0,
22.1774,16.8117,0,
22.2979,16.9553,0,
22.4184,17.0986,0,
22.5390,17.2417,0,
22.6595,17.3843,0,
22.7800,17.5265,0,
22.9006,17.6681,0,
23.0211,17.8092,0,
23.1416,17.9498,0,
