\         Composition, T_real,      z, nbands,     M_fit,   dM_fit+,   dM_fit-,  T_fit, dT_fit+, dT_fit-, beta_fit, dbeta_fit+, dbeta_fit-
E30R-70.0+BE-30.0-raw,  100.0,   0.00,      7, 2.190e+09, 1.017e+09, 7.668e+08, 137.15,   72.60,   46.41,     1.14,       0.16,       0.11
E30R-70.0+BE-30.0-raw,  100.0,   1.00,      7, 2.253e+09, 1.378e+09, 9.642e+08, 126.81,   95.55,   49.85,     1.21,       0.18,       0.13
E30R-70.0+BE-30.0-raw,  100.0,   2.00,      7, 1.912e+09, 1.231e+09, 7.217e+08, 148.34,   84.90,   62.08,     1.18,       0.18,       0.12
E30R-70.0+BE-30.0-raw,  100.0,   3.00,      7, 2.239e+09, 1.453e+09, 1.039e+09, 113.97,  102.75,   44.45,     1.30,       0.22,       0.16
E30R-70.0+BE-30.0-raw,  100.0,   4.00,      7, 2.695e+09, 1.075e+09, 1.113e+09,  90.89,   71.62,   28.70,     1.37,       0.25,       0.20
E30R-70.0+BE-30.0-raw,  100.0,   5.00,      6, 2.578e+09, 2.740e+09, 1.315e+09,  85.38,   94.82,   42.79,     1.48,       0.44,       0.25
E30R-70.0+BE-30.0-raw,  100.0,   6.00,      6, 2.798e+09, 1.748e+09, 1.470e+09,  78.39,   85.66,   30.36,     1.50,       0.36,       0.23
E30R-70.0+BE-30.0-raw,  100.0,   7.00,      5, 3.880e+09, 3.660e+09, 1.710e+09,  55.18,   34.98,   21.87,     1.75,       0.52,       0.29
E30R-70.0+BE-30.0-raw,   20.0,   0.00,      7, 1.718e+09, 1.353e+08, 1.276e+08,  19.64,    1.21,    1.12,     1.56,       0.18,       0.17
E30R-70.0+BE-30.0-raw,   20.0,   1.00,      6, 1.226e+09, 4.712e+08, 4.132e+08,  25.41,   12.13,    5.94,     1.18,       0.42,       0.42
E30R-70.0+BE-30.0-raw,   20.0,   2.00,      7, 1.622e+09, 2.084e+08, 1.839e+08,  20.08,    2.23,    1.84,     1.52,       0.26,       0.26
E30R-70.0+BE-30.0-raw,   20.0,   3.00,      7, 1.616e+09, 2.905e+08, 2.217e+08,  18.95,    1.58,    1.56,     1.71,       0.20,       0.20
E30R-70.0+BE-30.0-raw,   20.0,   4.00,      6, 1.196e+09, 8.261e+08, 4.520e+08,  21.05,    6.46,    3.52,     1.60,       0.32,       0.35
E30R-70.0+BE-30.0-raw,   20.0,   5.00,      6, 1.167e+09, 1.120e+09, 4.606e+08,  20.71,    4.03,    2.41,     1.60,       0.25,       0.31
E30R-70.0+BE-30.0-raw,   20.0,   6.00,      6, 4.790e+08, 3.617e+08, 1.929e+08,  22.01,    2.89,    1.33,     1.45,       0.16,       0.23
E30R-70.0+BE-30.0-raw,   25.0,   0.00,      7, 1.743e+09, 1.519e+08, 1.407e+08,  24.43,    1.89,    1.57,     1.55,       0.16,       0.16
E30R-70.0+BE-30.0-raw,   25.0,   1.00,      7, 1.513e+09, 3.218e+08, 3.007e+08,  27.13,    6.42,    4.48,     1.41,       0.30,       0.31
E30R-70.0+BE-30.0-raw,   25.0,   2.00,      7, 1.604e+09, 2.242e+08, 2.168e+08,  25.85,    4.42,    3.11,     1.46,       0.28,       0.27
E30R-70.0+BE-30.0-raw,   25.0,   3.00,      7, 1.639e+09, 2.577e+08, 2.273e+08,  23.26,    2.45,    2.20,     1.71,       0.21,       0.20
E30R-70.0+BE-30.0-raw,   25.0,   4.00,      6, 1.393e+09, 1.092e+09, 5.620e+08,  24.81,   10.55,    5.77,     1.68,       0.39,       0.40
E30R-70.0+BE-30.0-raw,   25.0,   5.00,      6, 1.746e+09, 1.343e+09, 6.170e+08,  22.47,    4.67,    3.10,     1.82,       0.27,       0.32
E30R-70.0+BE-30.0-raw,   25.0,   6.00,      6, 1.708e+09, 1.368e+09, 5.663e+08,  23.52,    3.68,    2.15,     1.71,       0.20,       0.27
E30R-70.0+BE-30.0-raw,   25.0,   7.00,      5, 1.132e+09, 1.129e+09, 5.282e+08,  25.85,    4.85,    2.22,     1.56,       0.20,       0.24
E30R-70.0+BE-30.0-raw,   30.0,   0.00,      7, 1.817e+09, 1.759e+08, 1.604e+08,  29.21,    2.90,    2.38,     1.53,       0.16,       0.17
E30R-70.0+BE-30.0-raw,   30.0,   1.00,      7, 1.543e+09, 3.219e+08, 3.848e+08,  33.54,   11.83,    5.95,     1.36,       0.30,       0.34
E30R-70.0+BE-30.0-raw,   30.0,   2.00,      7, 1.443e+09, 3.924e+08, 4.098e+08,  35.59,   14.38,    7.09,     1.31,       0.29,       0.31
E30R-70.0+BE-30.0-raw,   30.0,   3.00,      7, 1.725e+09, 2.850e+08, 2.454e+08,  27.53,    3.74,    2.92,     1.68,       0.21,       0.20
E30R-70.0+BE-30.0-raw,   30.0,   4.00,      6, 1.395e+09, 7.489e+08, 4.902e+08,  30.17,   11.94,    6.96,     1.64,       0.35,       0.30
E30R-70.0+BE-30.0-raw,   30.0,   5.00,      6, 1.641e+09, 9.054e+08, 4.741e+08,  26.80,    6.52,    4.72,     1.81,       0.31,       0.29
E30R-70.0+BE-30.0-raw,   30.0,   6.00,      6, 1.923e+09, 1.736e+09, 6.702e+08,  25.99,    6.30,    3.88,     1.82,       0.28,       0.34
E30R-70.0+BE-30.0-raw,   30.0,   7.00,      5, 1.926e+09, 2.417e+09, 8.477e+08,  27.03,    6.40,    3.22,     1.76,       0.22,       0.30
E30R-70.0+BE-30.0-raw,   35.0,   0.00,      7, 1.893e+09, 1.959e+08, 1.879e+08,  34.67,    4.04,    3.31,     1.47,       0.16,       0.16
E30R-70.0+BE-30.0-raw,   35.0,   1.00,      7, 1.595e+09, 4.170e+08, 3.929e+08,  39.63,   13.33,    8.18,     1.36,       0.28,       0.28
E30R-70.0+BE-30.0-raw,   35.0,   2.00,      7, 1.589e+09, 3.697e+08, 3.511e+08,  39.40,   12.04,    7.48,     1.36,       0.26,       0.27
E30R-70.0+BE-30.0-raw,   35.0,   3.00,      7, 1.342e+09, 8.234e+08, 6.071e+08,  40.22,   29.83,   11.82,     1.48,       0.29,       0.31
E30R-70.0+BE-30.0-raw,   35.0,   4.00,      6, 1.367e+09, 1.037e+09, 7.357e+08,  36.42,   36.04,   11.06,     1.61,       0.38,       0.42
E30R-70.0+BE-30.0-raw,   35.0,   5.00,      6, 1.713e+09, 9.483e+08, 5.864e+08,  30.72,   11.12,    6.41,     1.77,       0.34,       0.35
E30R-70.0+BE-30.0-raw,   35.0,   6.00,      6, 1.869e+09, 1.032e+09, 5.028e+08,  29.47,    7.21,    4.79,     1.83,       0.30,       0.33
E30R-70.0+BE-30.0-raw,   35.0,   7.00,      5, 1.864e+09, 1.690e+09, 7.173e+08,  30.33,    8.64,    4.70,     1.79,       0.28,       0.32
E30R-70.0+BE-30.0-raw,   40.0,   0.00,      7, 1.952e+09, 2.516e+08, 2.346e+08,  39.91,    5.66,    4.53,     1.44,       0.16,       0.16
E30R-70.0+BE-30.0-raw,   40.0,   1.00,      7, 1.596e+09, 4.525e+08, 4.004e+08,  46.95,   16.91,   10.60,     1.33,       0.28,       0.23
E30R-70.0+BE-30.0-raw,   40.0,   2.00,      7, 1.654e+09, 4.147e+08, 4.231e+08,  46.12,   17.39,    9.91,     1.32,       0.28,       0.26
E30R-70.0+BE-30.0-raw,   40.0,   3.00,      7, 1.574e+09, 7.063e+08, 5.304e+08,  42.10,   18.37,   10.81,     1.53,       0.25,       0.24
E30R-70.0+BE-30.0-raw,   40.0,   4.00,      7, 1.778e+09, 5.536e+08, 4.150e+08,  35.71,    9.15,    6.70,     1.69,       0.27,       0.23
E30R-70.0+BE-30.0-raw,   40.0,   5.00,      6, 1.745e+09, 1.061e+09, 5.983e+08,  35.45,   15.36,    9.51,     1.73,       0.40,       0.34
E30R-70.0+BE-30.0-raw,   40.0,   6.00,      6, 2.165e+09, 1.507e+09, 6.631e+08,  30.45,    9.01,    5.96,     1.93,       0.32,       0.34
E30R-70.0+BE-30.0-raw,   40.0,   7.00,      5, 1.782e+09, 1.981e+09, 6.654e+08,  35.42,   16.25,    8.93,     1.73,       0.38,       0.38
E30R-70.0+BE-30.0-raw,   45.0,   0.00,      7, 2.017e+09, 2.716e+08, 2.884e+08,  45.60,    8.28,    5.83,     1.40,       0.16,       0.17
E30R-70.0+BE-30.0-raw,   45.0,   1.00,      7, 1.583e+09, 5.494e+08, 5.586e+08,  56.63,   30.98,   15.73,     1.27,       0.28,       0.23
E30R-70.0+BE-30.0-raw,   45.0,   2.00,      7, 1.671e+09, 4.173e+08, 4.772e+08,  53.47,   21.74,   11.49,     1.30,       0.23,       0.22
E30R-70.0+BE-30.0-raw,   45.0,   3.00,      7, 1.616e+09, 7.708e+08, 5.447e+08,  47.56,   22.00,   12.92,     1.50,       0.27,       0.22
E30R-70.0+BE-30.0-raw,   45.0,   4.00,      7, 1.814e+09, 5.314e+08, 4.299e+08,  40.74,   12.33,    7.95,     1.63,       0.27,       0.25
E30R-70.0+BE-30.0-raw,   45.0,   5.00,      6, 1.894e+09, 1.156e+09, 6.740e+08,  37.07,   16.66,   10.08,     1.78,       0.39,       0.34
E30R-70.0+BE-30.0-raw,   45.0,   6.00,      6, 2.112e+09, 1.139e+09, 5.980e+08,  34.00,   11.03,    6.67,     1.88,       0.32,       0.34
E30R-70.0+BE-30.0-raw,   45.0,   7.00,      5, 1.926e+09, 1.511e+09, 6.856e+08,  37.72,   14.95,    8.73,     1.76,       0.33,       0.35
E30R-70.0+BE-30.0-raw,   50.0,   0.00,      7, 2.042e+09, 3.559e+08, 3.278e+08,  52.39,   11.71,    7.97,     1.35,       0.16,       0.16
E30R-70.0+BE-30.0-raw,   50.0,   1.00,      7, 1.729e+09, 6.101e+08, 5.888e+08,  59.38,   31.85,   16.51,     1.31,       0.27,       0.22
E30R-70.0+BE-30.0-raw,   50.0,   2.00,      7, 1.626e+09, 5.356e+08, 5.758e+08,  63.40,   36.54,   16.73,     1.25,       0.25,       0.24
E30R-70.0+BE-30.0-raw,   50.0,   3.00,      7, 1.701e+09, 7.409e+08, 6.139e+08,  53.18,   28.83,   14.18,     1.46,       0.24,       0.24
E30R-70.0+BE-30.0-raw,   50.0,   4.00,      7, 2.001e+09, 4.925e+08, 4.335e+08,  43.12,   12.38,    7.77,     1.65,       0.24,       0.24
E30R-70.0+BE-30.0-raw,   50.0,   5.00,      6, 1.719e+09, 8.664e+08, 7.301e+08,  47.14,   31.85,   13.83,     1.62,       0.35,       0.31
E30R-70.0+BE-30.0-raw,   50.0,   6.00,      6, 2.249e+09, 1.024e+09, 6.561e+08,  37.44,   13.30,    8.57,     1.83,       0.38,       0.32
