\     Two-temperature model: fw0.0001
\         Composition,    f_w,      z, nbands,     M_fit,   dM_fit+,   dM_fit-,  T_fit, dT_fit+, dT_fit-, beta_fit, dbeta_fit+, dbeta_fit-
E30R-70.0+BE-30.0-raw, 0.0001,   0.00,      8, 1.920e+09, 1.312e+08, 1.408e+08,  27.80,    1.41,    1.32,     1.59,       0.13,       0.12
E30R-70.0+BE-30.0-raw, 0.0001,   1.00,      9, 1.867e+09, 1.468e+08, 1.524e+08,  27.64,    1.13,    1.00,     1.63,       0.13,       0.13
E30R-70.0+BE-30.0-raw, 0.0001,   2.00,      9, 1.838e+09, 1.852e+08, 1.697e+08,  27.76,    1.79,    1.73,     1.62,       0.18,       0.17
E30R-70.0+BE-30.0-raw, 0.0001,   3.00,      8, 1.765e+09, 1.891e+08, 1.769e+08,  27.08,    2.31,    1.99,     1.70,       0.17,       0.17
E30R-70.0+BE-30.0-raw, 0.0001,   4.00,      8, 1.763e+09, 1.789e+08, 1.770e+08,  26.10,    1.73,    1.45,     1.80,       0.17,       0.18
E30R-70.0+BE-30.0-raw, 0.0001,   5.00,      8, 1.786e+09, 2.139e+08, 2.009e+08,  26.04,    1.42,    1.28,     1.82,       0.18,       0.17
E30R-70.0+BE-30.0-raw, 0.0001,   6.00,      7, 2.100e+09, 4.463e+08, 3.322e+08,  25.09,    1.73,    1.67,     1.90,       0.20,       0.19
E30R-70.0+BE-30.0-raw, 0.0001,   7.00,      7, 2.643e+09, 1.078e+09, 5.731e+08,  25.43,    1.71,    1.34,     1.84,       0.15,       0.19
E30R-70.0+BE-30.0-raw, 0.0003,   0.00,      8, 1.909e+09, 1.336e+08, 1.302e+08,  28.03,    1.43,    1.33,     1.58,       0.13,       0.12
E30R-70.0+BE-30.0-raw, 0.0003,   1.00,      9, 1.829e+09, 1.458e+08, 1.389e+08,  28.56,    1.12,    1.03,     1.57,       0.12,       0.12
E30R-70.0+BE-30.0-raw, 0.0003,   2.00,      9, 1.828e+09, 1.742e+08, 1.738e+08,  28.22,    1.71,    1.63,     1.59,       0.17,       0.16
E30R-70.0+BE-30.0-raw, 0.0003,   3.00,      8, 1.763e+09, 1.926e+08, 1.777e+08,  27.11,    2.26,    1.95,     1.70,       0.17,       0.17
E30R-70.0+BE-30.0-raw, 0.0003,   4.00,      8, 1.739e+09, 1.884e+08, 1.772e+08,  26.26,    1.60,    1.45,     1.80,       0.17,       0.17
E30R-70.0+BE-30.0-raw, 0.0003,   5.00,      8, 1.746e+09, 2.079e+08, 1.989e+08,  26.40,    1.35,    1.27,     1.81,       0.16,       0.16
E30R-70.0+BE-30.0-raw, 0.0003,   6.00,      7, 2.001e+09, 4.356e+08, 2.983e+08,  25.69,    1.88,    1.86,     1.85,       0.21,       0.20
E30R-70.0+BE-30.0-raw, 0.0003,   7.00,      7, 2.371e+09, 9.343e+08, 5.217e+08,  25.92,    1.88,    1.62,     1.83,       0.18,       0.19
E30R-70.0+BE-30.0-raw, 0.0010,   0.00,      8, 1.872e+09, 1.334e+08, 1.327e+08,  28.77,    1.48,    1.34,     1.55,       0.12,       0.12
