\         Composition, T_real,      z, nbands,     M_fit,   dM_fit+,   dM_fit-,  T_fit, dT_fit+, dT_fit-, beta_fit, dbeta_fit+, dbeta_fit-
E30R-70.0+BE-30.0-red,  100.0,   0.00,      7, 6.215e+08, 2.887e+08, 2.334e+08, 130.15,   80.38,   41.66,     1.32,       0.14,       0.11
E30R-70.0+BE-30.0-red,  100.0,   1.00,      7, 5.862e+08, 4.244e+08, 2.655e+08, 129.09,  107.83,   55.34,     1.38,       0.22,       0.12
E30R-70.0+BE-30.0-red,  100.0,   2.00,      7, 6.340e+08, 3.504e+08, 2.728e+08, 118.20,   89.88,   44.53,     1.40,       0.22,       0.14
E30R-70.0+BE-30.0-red,  100.0,   3.00,      7, 5.640e+08, 3.888e+08, 2.458e+08, 122.05,   94.80,   49.70,     1.46,       0.19,       0.14
E30R-70.0+BE-30.0-red,  100.0,   4.00,      7, 8.371e+08, 2.683e+08, 2.501e+08,  79.07,   35.40,   19.85,     1.61,       0.20,       0.18
E30R-70.0+BE-30.0-red,  100.0,   5.00,      6, 9.286e+08, 5.195e+08, 4.675e+08,  63.57,   64.54,   21.60,     1.79,       0.31,       0.26
E30R-70.0+BE-30.0-red,  100.0,   6.00,      6, 1.155e+09, 6.431e+08, 4.483e+08,  48.81,   35.27,   14.17,     2.00,       0.42,       0.37
E30R-70.0+BE-30.0-red,  100.0,   7.00,      5, 1.111e+09, 8.790e+08, 4.795e+08,  51.39,   32.11,   16.73,     1.99,       0.38,       0.32
E30R-70.0+BE-30.0-red,   20.0,   0.00,      7, 4.766e+08, 3.526e+07, 3.605e+07,  19.08,    1.14,    1.06,     1.81,       0.18,       0.17
E30R-70.0+BE-30.0-red,   20.0,   1.00,      6, 3.437e+08, 1.128e+08, 1.128e+08,  24.77,   10.80,    5.31,     1.41,       0.39,       0.42
E30R-70.0+BE-30.0-red,   20.0,   2.00,      7, 4.495e+08, 5.918e+07, 5.524e+07,  19.46,    2.25,    1.87,     1.78,       0.29,       0.27
E30R-70.0+BE-30.0-red,   20.0,   3.00,      7, 4.616e+08, 8.102e+07, 6.410e+07,  18.21,    1.61,    1.36,     1.98,       0.20,       0.20
E30R-70.0+BE-30.0-red,   20.0,   4.00,      6, 4.363e+08, 3.381e+08, 1.681e+08,  18.70,    3.99,    2.47,     1.98,       0.28,       0.31
E30R-70.0+BE-30.0-red,   20.0,   5.00,      6, 3.740e+08, 3.039e+08, 1.496e+08,  19.97,    2.87,    1.80,     1.84,       0.18,       0.22
E30R-70.0+BE-30.0-red,   20.0,   6.00,      6, 1.488e+08, 1.494e+08, 6.376e+07,  21.66,    2.70,    1.32,     1.64,       0.14,       0.20
E30R-70.0+BE-30.0-red,   25.0,   0.00,      7, 4.879e+08, 4.282e+07, 3.900e+07,  23.55,    1.74,    1.53,     1.80,       0.16,       0.16
E30R-70.0+BE-30.0-red,   25.0,   1.00,      6, 3.290e+08, 1.580e+08, 1.622e+08,  32.42,   27.80,    9.64,     1.43,       0.47,       0.42
E30R-70.0+BE-30.0-red,   25.0,   2.00,      7, 4.534e+08, 6.378e+07, 5.944e+07,  24.38,    3.73,    2.79,     1.75,       0.28,       0.27
E30R-70.0+BE-30.0-red,   25.0,   3.00,      7, 4.678e+08, 7.700e+07, 6.271e+07,  22.24,    2.33,    1.96,     1.97,       0.20,       0.20
E30R-70.0+BE-30.0-red,   25.0,   4.00,      6, 4.033e+08, 2.861e+08, 1.411e+08,  23.52,    7.13,    4.73,     1.96,       0.33,       0.33
E30R-70.0+BE-30.0-red,   25.0,   5.00,      6, 5.343e+08, 4.147e+08, 1.951e+08,  21.67,    4.22,    2.76,     2.05,       0.25,       0.29
E30R-70.0+BE-30.0-red,   25.0,   6.00,      6, 5.195e+08, 3.819e+08, 1.969e+08,  23.06,    3.45,    1.87,     1.91,       0.18,       0.23
E30R-70.0+BE-30.0-red,   25.0,   7.00,      5, 2.625e+08, 3.102e+08, 1.131e+08,  26.79,    5.56,    2.98,     1.69,       0.20,       0.27
E30R-70.0+BE-30.0-red,   30.0,   0.00,      7, 5.100e+08, 4.837e+07, 4.372e+07,  28.34,    2.70,    2.25,     1.75,       0.16,       0.17
E30R-70.0+BE-30.0-red,   30.0,   1.00,      7, 4.195e+08, 1.154e+08, 1.141e+08,  33.08,   12.19,    6.73,     1.58,       0.30,       0.32
E30R-70.0+BE-30.0-red,   30.0,   2.00,      7, 4.602e+08, 7.388e+07, 7.378e+07,  29.87,    5.88,    3.88,     1.70,       0.24,       0.26
E30R-70.0+BE-30.0-red,   30.0,   3.00,      7, 4.806e+08, 8.042e+07, 6.903e+07,  26.61,    3.32,    2.91,     1.93,       0.21,       0.18
E30R-70.0+BE-30.0-red,   30.0,   4.00,      6, 4.697e+08, 2.717e+08, 1.642e+08,  25.97,    8.97,    5.60,     2.02,       0.34,       0.33
E30R-70.0+BE-30.0-red,   30.0,   5.00,      6, 5.136e+08, 3.787e+08, 1.990e+08,  24.91,    8.74,    4.45,     2.09,       0.33,       0.41
E30R-70.0+BE-30.0-red,   30.0,   6.00,      6, 6.088e+08, 5.579e+08, 2.099e+08,  24.98,    4.73,    3.28,     2.04,       0.27,       0.28
E30R-70.0+BE-30.0-red,   30.0,   7.00,      5, 4.824e+08, 5.091e+08, 1.847e+08,  27.82,    5.32,    3.40,     1.90,       0.22,       0.26
E30R-70.0+BE-30.0-red,   35.0,   0.00,      7, 5.325e+08, 5.430e+07, 5.164e+07,  33.24,    3.65,    3.13,     1.70,       0.17,       0.16
E30R-70.0+BE-30.0-red,   35.0,   1.00,      7, 4.348e+08, 1.109e+08, 1.213e+08,  39.12,   15.22,    8.01,     1.55,       0.28,       0.28
E30R-70.0+BE-30.0-red,   35.0,   2.00,      7, 4.709e+08, 8.488e+07, 8.066e+07,  35.76,    7.93,    6.05,     1.64,       0.27,       0.24
E30R-70.0+BE-30.0-red,   35.0,   3.00,      7, 4.975e+08, 9.329e+07, 8.247e+07,  31.15,    5.44,    4.12,     1.87,       0.21,       0.21
E30R-70.0+BE-30.0-red,   35.0,   4.00,      6, 4.343e+08, 2.795e+08, 1.742e+08,  32.44,   15.94,    8.80,     1.91,       0.37,       0.32
E30R-70.0+BE-30.0-red,   35.0,   5.00,      6, 5.794e+08, 3.107e+08, 1.942e+08,  26.30,    7.89,    4.48,     2.18,       0.32,       0.35
