\     Two-temperature model: fw0.0001
\         Composition,    f_w,      z, nbands,     M_fit,   dM_fit+,   dM_fit-,  T_fit, dT_fit+, dT_fit-, beta_fit, dbeta_fit+, dbeta_fit-
E30R-70.0+BE-30.0-red, 0.0001,   0.00,      8, 5.386e+08, 3.824e+07, 3.692e+07,  26.77,    1.30,    1.25,     1.84,       0.13,       0.13
E30R-70.0+BE-30.0-red, 0.0001,   1.00,      9, 5.171e+08, 4.069e+07, 4.029e+07,  27.05,    1.15,    1.07,     1.82,       0.14,       0.13
E30R-70.0+BE-30.0-red, 0.0001,   2.00,      7, 4.559e+08, 7.665e+07, 7.397e+07,  30.21,    6.03,    4.39,     1.69,       0.26,       0.27
E30R-70.0+BE-30.0-red, 0.0001,   3.00,      8, 5.014e+08, 5.066e+07, 4.887e+07,  25.97,    2.04,    1.82,     1.96,       0.17,       0.17
E30R-70.0+BE-30.0-red, 0.0001,   4.00,      8, 5.055e+08, 5.651e+07, 5.304e+07,  24.96,    1.50,    1.32,     2.07,       0.16,       0.17
E30R-70.0+BE-30.0-red, 0.0001,   5.00,      8, 5.228e+08, 6.177e+07, 5.871e+07,  24.84,    1.26,    1.17,     2.09,       0.16,       0.16
E30R-70.0+BE-30.0-red, 0.0001,   6.00,      7, 6.804e+08, 1.789e+08, 1.185e+08,  23.93,    1.67,    1.49,     2.14,       0.18,       0.20
E30R-70.0+BE-30.0-red, 0.0001,   7.00,      7, 9.478e+08, 6.913e+08, 2.617e+08,  24.57,    1.74,    1.31,     2.03,       0.15,       0.19
E30R-70.0+BE-30.0-red, 0.0003,   0.00,      8, 5.326e+08, 3.732e+07, 3.559e+07,  26.79,    1.30,    1.21,     1.85,       0.13,       0.13
E30R-70.0+BE-30.0-red, 0.0003,   1.00,      9, 5.086e+08, 3.906e+07, 4.033e+07,  27.81,    1.25,    1.15,     1.77,       0.14,       0.14
E30R-70.0+BE-30.0-red, 0.0003,   2.00,      7, 4.630e+08, 7.097e+07, 7.687e+07,  30.27,    6.01,    4.10,     1.67,       0.26,       0.24
E30R-70.0+BE-30.0-red, 0.0003,   3.00,      8, 4.975e+08, 5.233e+07, 4.746e+07,  25.90,    2.07,    1.79,     1.97,       0.17,       0.18
E30R-70.0+BE-30.0-red, 0.0003,   4.00,      8, 4.991e+08, 5.329e+07, 5.030e+07,  25.09,    1.49,    1.33,     2.06,       0.17,       0.17
E30R-70.0+BE-30.0-red, 0.0003,   5.00,      8, 5.044e+08, 5.884e+07, 5.385e+07,  25.29,    1.31,    1.24,     2.06,       0.17,       0.17
E30R-70.0+BE-30.0-red, 0.0003,   6.00,      7, 6.422e+08, 1.765e+08, 1.085e+08,  24.46,    1.85,    1.62,     2.09,       0.19,       0.19
E30R-70.0+BE-30.0-red, 0.0003,   7.00,      7, 8.310e+08, 5.012e+08, 2.155e+08,  25.02,    1.78,    1.40,     2.02,       0.15,       0.19
E30R-70.0+BE-30.0-red, 0.0010,   0.00,      8, 5.218e+08, 3.576e+07, 3.397e+07,  27.49,    1.32,    1.22,     1.81,       0.12,       0.12
E30R-70.0+BE-30.0-red, 0.0010,   1.00,      9, 4.755e+08, 3.632e+07, 3.467e+07,  30.36,    1.45,    1.36,     1.62,       0.14,       0.14
E30R-70.0+BE-30.0-red, 0.0010,   2.00,      7, 4.548e+08, 7.893e+07, 7.614e+07,  30.33,    7.14,    4.48,     1.68,       0.27,       0.30
E30R-70.0+BE-30.0-red, 0.0010,   3.00,      8, 4.903e+08, 5.678e+07, 4.929e+07,  26.22,    2.12,    1.81,     1.94,       0.17,       0.16
E30R-70.0+BE-30.0-red, 0.0010,   4.00,      8, 4.840e+08, 5.221e+07, 4.862e+07,  25.61,    1.55,    1.43,     2.04,       0.17,       0.17
E30R-70.0+BE-30.0-red, 0.0010,   5.00,      8, 4.710e+08, 5.602e+07, 5.466e+07,  26.33,    1.41,    1.29,     2.01,       0.16,       0.16
E30R-70.0+BE-30.0-red, 0.0010,   6.00,      7, 5.632e+08, 1.326e+08, 8.728e+07,  25.50,    1.77,    1.84,     2.05,       0.20,       0.18
E30R-70.0+BE-30.0-red, 0.0010,   7.00,      7, 5.558e+08, 2.096e+08, 1.012e+08,  27.16,    1.96,    2.08,     1.92,       0.20,       0.20
E30R-70.0+BE-30.0-red, 0.0030,   0.00,      8, 4.981e+08, 3.374e+07, 3.386e+07,  29.18,    1.56,    1.41,     1.73,       0.12,       0.12
E30R-70.0+BE-30.0-red, 0.0030,   1.00,      9, 4.233e+08, 3.299e+07, 3.194e+07,  35.58,    2.12,    1.90,     1.39,       0.13,       0.13
E30R-70.0+BE-30.0-red, 0.0030,   2.00,      8, 4.409e+08, 4.761e+07, 3.945e+07,  31.78,    2.41,    2.43,     1.64,       0.16,       0.15
E30R-70.0+BE-30.0-red, 0.0030,   3.00,      8, 4.753e+08, 5.453e+07, 4.671e+07,  27.06,    2.45,    2.02,     1.92,       0.17,       0.18
E30R-70.0+BE-30.0-red, 0.0030,   4.00,      8, 4.503e+08, 4.883e+07, 4.590e+07,  27.24,    1.85,    1.57,     1.96,       0.16,       0.17
E30R-70.0+BE-30.0-red, 0.0030,   5.00,      8, 4.121e+08, 4.789e+07, 4.421e+07,  29.12,    1.75,    1.61,     1.86,       0.17,       0.16
E30R-70.0+BE-30.0-red, 0.0030,   6.00,      7, 4.413e+08, 7.604e+07, 5.877e+07,  27.95,    2.11,    2.01,     1.94,       0.19,       0.19
E30R-70.0+BE-30.0-red, 0.0030,   7.00,      7, 3.548e+08, 6.838e+07, 4.992e+07,  31.65,    2.45,    2.20,     1.72,       0.19,       0.18
E30R-70.0+BE-30.0-red, 0.0100,   0.00,      8, 4.397e+08, 3.370e+07, 3.144e+07,  34.07,    2.32,    2.08,     1.58,       0.12,       0.12
E30R-70.0+BE-30.0-red, 0.0100,   1.00,      9, 3.394e+08, 2.912e+07, 2.863e+07,  46.31,    3.66,    3.21,     1.15,       0.13,       0.12
E30R-70.0+BE-30.0-red, 0.0100,   2.00,      8, 3.591e+08, 3.114e+07, 3.079e+07,  40.84,    2.94,    2.67,     1.40,       0.13,       0.13
E30R-70.0+BE-30.0-red, 0.0100,   3.00,      8, 4.357e+08, 5.118e+07, 4.780e+07,  29.70,    2.90,    2.42,     1.85,       0.17,       0.16
E30R-70.0+BE-30.0-red, 0.0100,   4.00,      8, 3.834e+08, 4.369e+07, 3.865e+07,  31.40,    2.47,    2.18,     1.82,       0.17,       0.17
E30R-70.0+BE-30.0-red, 0.0100,   5.00,      8, 3.258e+08, 3.650e+07, 3.574e+07,  34.97,    2.57,    2.42,     1.69,       0.16,       0.16
E30R-70.0+BE-30.0-red, 0.0100,   6.00,      7, 3.124e+08, 4.536e+07, 4.329e+07,  34.43,    2.92,    2.70,     1.74,       0.18,       0.17
E30R-70.0+BE-30.0-red, 0.0100,   7.00,      7, 2.361e+08, 3.493e+07, 3.239e+07,  40.78,    4.17,    3.58,     1.51,       0.20,       0.20
E30R-70.0+BE-30.0-red, 0.0300,   0.00,      8, 3.726e+08, 3.016e+07, 2.903e+07,  43.24,    3.72,    3.14,     1.44,       0.11,       0.12
E30R-70.0+BE-30.0-red, 0.0300,   1.00,      9, 2.804e+08, 2.644e+07, 2.437e+07,  59.15,    5.79,    4.87,     1.12,       0.12,       0.12
E30R-70.0+BE-30.0-red, 0.0300,   2.00,      9, 2.914e+08, 2.763e+07, 2.497e+07,  54.03,    4.82,    4.20,     1.26,       0.13,       0.12
E30R-70.0+BE-30.0-red, 0.0300,   3.00,      8, 3.828e+08, 4.715e+07, 4.815e+07,  35.50,    4.15,    3.48,     1.74,       0.17,       0.16
E30R-70.0+BE-30.0-red, 0.0300,   4.00,      8, 3.173e+08, 3.769e+07, 3.366e+07,  39.11,    4.03,    3.51,     1.69,       0.17,       0.16
E30R-70.0+BE-30.0-red, 0.0300,   5.00,      8, 2.625e+08, 2.965e+07, 2.981e+07,  44.03,    4.32,    3.61,     1.59,       0.16,       0.16
E30R-70.0+BE-30.0-red, 0.0300,   6.00,      7, 2.387e+08, 3.602e+07, 3.088e+07,  43.38,    5.51,    4.11,     1.64,       0.18,       0.19
E30R-70.0+BE-30.0-red, 0.0300,   7.00,      7, 1.829e+08, 2.730e+07, 2.529e+07,  50.40,    6.06,    5.24,     1.51,       0.20,       0.19
E30R-70.0+BE-30.0-red, 0.1000,   0.00,      8, 3.401e+08, 3.584e+07, 3.664e+07,  60.21,    7.95,    6.16,     1.37,       0.12,       0.11
E30R-70.0+BE-30.0-red, 0.1000,   1.00,      9, 2.875e+08, 2.672e+07, 2.615e+07,  70.08,    7.00,    5.61,     1.27,       0.10,       0.10
E30R-70.0+BE-30.0-red, 0.1000,   2.00,      9, 2.887e+08, 3.053e+07, 2.694e+07,  68.34,    8.43,    6.87,     1.30,       0.13,       0.13
E30R-70.0+BE-30.0-red, 0.1000,   3.00,      9, 3.057e+08, 4.194e+07, 3.891e+07,  55.59,    8.84,    6.61,     1.53,       0.14,       0.15
E30R-70.0+BE-30.0-red, 0.1000,   4.00,      9, 2.673e+08, 3.713e+07, 3.148e+07,  59.22,    7.71,    6.66,     1.52,       0.15,       0.13
E30R-70.0+BE-30.0-red, 0.1000,   5.00,      8, 2.736e+08, 4.079e+07, 3.874e+07,  52.32,    8.92,    6.73,     1.66,       0.19,       0.19
E30R-70.0+BE-30.0-red, 0.1000,   6.00,      7, 2.394e+08, 3.773e+07, 3.219e+07,  54.50,    8.57,    6.58,     1.66,       0.19,       0.18
E30R-70.0+BE-30.0-red, 0.1000,   7.00,      7, 1.996e+08, 3.313e+07, 2.669e+07,  59.26,    9.20,    7.63,     1.63,       0.21,       0.19
E30R-70.0+BE-30.0-red, 0.3000,   0.00,      8, 4.450e+08, 6.141e+07, 6.082e+07,  75.56,   13.20,   10.26,     1.40,       0.13,       0.11
E30R-70.0+BE-30.0-red, 0.3000,   1.00,      9, 4.350e+08, 4.027e+07, 3.814e+07,  73.73,    7.70,    6.20,     1.44,       0.11,       0.10
E30R-70.0+BE-30.0-red, 0.3000,   2.00,      9, 4.204e+08, 4.363e+07, 4.039e+07,  75.59,    9.51,    8.24,     1.43,       0.13,       0.12
E30R-70.0+BE-30.0-red, 0.3000,   3.00,      9, 4.222e+08, 5.252e+07, 5.317e+07,  67.95,   10.62,    8.25,     1.55,       0.14,       0.13
E30R-70.0+BE-30.0-red, 0.3000,   4.00,      9, 3.861e+08, 4.227e+07, 3.709e+07,  68.03,    8.69,    6.55,     1.60,       0.14,       0.14
E30R-70.0+BE-30.0-red, 0.3000,   5.00,      8, 3.866e+08, 5.388e+07, 4.770e+07,  63.04,    9.31,    7.82,     1.69,       0.17,       0.16
E30R-70.0+BE-30.0-red, 0.3000,   6.00,      8, 3.519e+08, 4.816e+07, 4.372e+07,  65.01,    9.04,    7.30,     1.70,       0.17,       0.17
E30R-70.0+BE-30.0-red, 0.3000,   7.00,      7, 3.635e+08, 1.134e+08, 7.436e+07,  58.80,   15.70,   12.39,     1.80,       0.27,       0.23
