\     Two-temperature model: fw0.0001
\         Composition,    f_w,      z, nbands,     M_fit,   dM_fit+,   dM_fit-,  T_fit, dT_fit+, dT_fit-, beta_fit, dbeta_fit+, dbeta_fit-
              MBBtest, 0.0001,   0.00,     12, 9.910e+07, 7.373e+06, 7.444e+06,  29.09,    1.17,    1.07,     1.58,       0.06,       0.06
              MBBtest, 0.0001,   1.00,     10, 9.510e+07, 9.676e+06, 8.220e+06,  29.33,    1.63,    1.69,     1.58,       0.10,       0.10
              MBBtest, 0.0001,   2.00,      8, 9.545e+07, 1.911e+07, 1.650e+07,  28.37,    4.48,    3.44,     1.63,       0.19,       0.19
              MBBtest, 0.0001,   3.00,      8, 9.179e+07, 1.196e+07, 1.116e+07,  28.27,    2.87,    2.43,     1.67,       0.19,       0.19
              MBBtest, 0.0001,   4.00,      8, 8.798e+07, 1.062e+07, 9.910e+06,  28.93,    2.25,    1.97,     1.64,       0.19,       0.18
              MBBtest, 0.0001,   5.00,      8, 8.611e+07, 1.163e+07, 1.076e+07,  29.13,    1.88,    1.65,     1.64,       0.18,       0.18
              MBBtest, 0.0001,   6.00,      7, 8.687e+07, 1.626e+07, 1.270e+07,  28.87,    2.58,    2.34,     1.66,       0.22,       0.21
              MBBtest, 0.0001,   7.00,      7, 8.526e+07, 2.058e+07, 1.462e+07,  29.15,    2.27,    2.23,     1.66,       0.23,       0.20
              MBBtest, 0.0003,   0.00,     12, 9.786e+07, 7.729e+06, 7.471e+06,  29.35,    1.22,    1.16,     1.57,       0.06,       0.06
              MBBtest, 0.0003,   1.00,     10, 9.167e+07, 9.035e+06, 7.635e+06,  30.04,    1.62,    1.66,     1.56,       0.10,       0.09
              MBBtest, 0.0003,   2.00,      8, 9.612e+07, 1.868e+07, 1.582e+07,  28.32,    4.06,    3.35,     1.63,       0.18,       0.17
              MBBtest, 0.0003,   3.00,      8, 9.133e+07, 1.171e+07, 1.051e+07,  28.57,    2.91,    2.39,     1.64,       0.19,       0.19
              MBBtest, 0.0003,   4.00,      8, 8.645e+07, 1.083e+07, 9.539e+06,  29.02,    2.24,    2.03,     1.65,       0.18,       0.18
              MBBtest, 0.0003,   5.00,      8, 8.295e+07, 1.152e+07, 1.022e+07,  29.65,    1.95,    1.78,     1.62,       0.19,       0.18
