\         Composition, T_real,      z, nbands,     M_fit,   dM_fit+,   dM_fit-,  T_fit, dT_fit+, dT_fit-, beta_fit, dbeta_fit+, dbeta_fit-
              MBBtest,  100.0,   0.00,     11, 1.019e+08, 3.363e+07, 3.216e+07,  94.16,   36.07,   20.01,     1.55,       0.08,       0.07
              MBBtest,  100.0,   1.00,      9, 1.086e+08, 4.711e+07, 4.556e+07,  85.38,   54.15,   22.94,     1.60,       0.13,       0.13
              MBBtest,  100.0,   2.00,      8, 8.812e+07, 6.591e+07, 4.190e+07,  99.79,   85.47,   39.40,     1.58,       0.20,       0.15
              MBBtest,  100.0,   3.00,      7, 9.444e+07, 6.322e+07, 4.745e+07,  92.35,   87.03,   36.35,     1.60,       0.23,       0.17
              MBBtest,  100.0,   4.00,      6, 1.522e+08, 1.325e+08, 7.653e+07,  55.16,   51.92,   21.55,     1.86,       0.37,       0.28
              MBBtest,  100.0,   5.00,      6, 1.271e+08, 1.072e+08, 6.093e+07,  63.05,   53.89,   26.28,     1.82,       0.41,       0.27
              MBBtest,  100.0,   6.00,      6, 1.095e+08, 7.516e+07, 5.519e+07,  71.94,   72.53,   28.64,     1.75,       0.43,       0.27
              MBBtest,  100.0,   7.00,      5, 1.214e+08, 1.058e+08, 5.607e+07,  61.73,   49.03,   25.23,     1.89,       0.50,       0.30
              MBBtest,   20.0,   0.00,     11, 1.005e+08, 9.272e+06, 9.075e+06,  19.28,    0.81,    0.74,     1.60,       0.08,       0.07
              MBBtest,   20.0,   1.00,      8, 9.981e+07, 2.501e+07, 2.047e+07,  19.01,    2.72,    2.20,     1.62,       0.19,       0.17
              MBBtest,   20.0,   2.00,      8, 9.489e+07, 1.439e+07, 1.216e+07,  19.11,    1.74,    1.50,     1.65,       0.19,       0.19
              MBBtest,   20.0,   3.00,      7, 9.488e+07, 1.932e+07, 1.485e+07,  18.92,    2.02,    1.60,     1.69,       0.21,       0.22
              MBBtest,   20.0,   4.00,      6, 7.276e+07, 5.691e+07, 2.986e+07,  20.98,    7.11,    3.55,     1.54,       0.29,       0.40
              MBBtest,   20.0,   5.00,      6, 5.715e+07, 4.363e+07, 2.366e+07,  22.11,    6.06,    2.91,     1.43,       0.27,       0.36
              MBBtest,   20.0,   6.00,      6, 2.392e+07, 3.682e+07, 1.189e+07,  22.80,    5.45,    2.42,     1.37,       0.21,       0.34
              MBBtest,   25.0,   0.00,     11, 1.001e+08, 1.040e+07, 9.158e+06,  24.10,    1.23,    1.16,     1.59,       0.07,       0.07
              MBBtest,   25.0,   1.00,      8, 1.017e+08, 3.041e+07, 2.801e+07,  23.46,    5.54,    3.58,     1.61,       0.19,       0.20
              MBBtest,   25.0,   2.00,      8, 9.587e+07, 1.557e+07, 1.409e+07,  23.60,    2.68,    2.11,     1.65,       0.17,       0.18
              MBBtest,   25.0,   3.00,      7, 9.232e+07, 1.910e+07, 1.452e+07,  23.76,    3.10,    2.59,     1.65,       0.22,       0.22
              MBBtest,   25.0,   4.00,      6, 8.367e+07, 5.231e+07, 3.487e+07,  24.81,   10.71,    4.99,     1.61,       0.33,       0.37
              MBBtest,   25.0,   5.00,      6, 7.829e+07, 6.490e+07, 3.287e+07,  25.78,   10.74,    5.39,     1.55,       0.42,       0.42
              MBBtest,   25.0,   6.00,      6, 7.910e+07, 8.210e+07, 3.347e+07,  25.23,    7.76,    3.57,     1.58,       0.28,       0.38
              MBBtest,   25.0,   7.00,      5, 4.047e+07, 4.115e+07, 1.807e+07,  29.11,   10.16,    4.24,     1.40,       0.27,       0.39
              MBBtest,   30.0,   0.00,     11, 1.016e+08, 1.165e+07, 1.185e+07,  28.62,    2.10,    1.70,     1.59,       0.07,       0.07
              MBBtest,   30.0,   1.00,      8, 9.826e+07, 3.483e+07, 2.879e+07,  28.60,    7.85,    5.25,     1.59,       0.20,       0.19
              MBBtest,   30.0,   2.00,      8, 9.685e+07, 1.687e+07, 1.510e+07,  28.09,    4.02,    3.08,     1.64,       0.18,       0.18
              MBBtest,   30.0,   3.00,      7, 9.421e+07, 1.957e+07, 1.761e+07,  27.85,    4.86,    3.47,     1.68,       0.23,       0.23
              MBBtest,   30.0,   4.00,      6, 8.690e+07, 6.643e+07, 4.001e+07,  28.61,   17.80,    7.44,     1.66,       0.40,       0.43
              MBBtest,   30.0,   5.00,      6, 8.224e+07, 3.929e+07, 2.827e+07,  29.83,   10.32,    5.42,     1.62,       0.29,       0.35
              MBBtest,   30.0,   6.00,      6, 8.141e+07, 5.625e+07, 2.466e+07,  29.73,    9.10,    5.53,     1.63,       0.33,       0.40
              MBBtest,   30.0,   7.00,      5, 7.799e+07, 7.406e+07, 3.347e+07,  29.91,    8.30,    4.59,     1.63,       0.25,       0.30
              MBBtest,   35.0,   0.00,     11, 9.983e+07, 1.307e+07, 1.117e+07,  33.66,    2.67,    2.42,     1.57,       0.07,       0.07
              MBBtest,   35.0,   1.00,      8, 1.013e+08, 3.986e+07, 3.434e+07,  32.25,   12.23,    6.42,     1.61,       0.19,       0.20
              MBBtest,   35.0,   2.00,      8, 9.817e+07, 1.985e+07, 1.816e+07,  32.29,    5.97,    4.27,     1.64,       0.20,       0.19
              MBBtest,   35.0,   3.00,      7, 9.245e+07, 2.113e+07, 1.807e+07,  32.58,    7.18,    4.71,     1.65,       0.23,       0.23
              MBBtest,   35.0,   4.00,      6, 9.434e+07, 6.851e+07, 4.372e+07,  31.81,   19.65,    9.04,     1.69,       0.41,       0.36
              MBBtest,   35.0,   5.00,      6, 9.039e+07, 4.979e+07, 3.110e+07,  32.14,   11.66,    7.64,     1.72,       0.39,       0.33
              MBBtest,   35.0,   6.00,      6, 8.521e+07, 5.414e+07, 2.803e+07,  33.84,   11.93,    7.87,     1.65,       0.39,       0.37
              MBBtest,   35.0,   7.00,      5, 9.259e+07, 9.438e+07, 3.925e+07,  32.68,   12.10,    6.72,     1.69,       0.34,       0.34
              MBBtest,   40.0,   0.00,     11, 1.029e+08, 1.338e+07, 1.362e+07,  37.85,    3.62,    3.05,     1.58,       0.07,       0.07
              MBBtest,   40.0,   1.00,      8, 9.207e+07, 4.813e+07, 4.122e+07,  39.87,   24.38,   10.57,     1.56,       0.21,       0.19
              MBBtest,   40.0,   2.00,      8, 9.555e+07, 2.264e+07, 2.208e+07,  37.50,    9.47,    5.93,     1.61,       0.20,       0.19
              MBBtest,   40.0,   3.00,      7, 9.260e+07, 2.356e+07, 2.132e+07,  37.27,   10.54,    6.23,     1.64,       0.22,       0.25
              MBBtest,   40.0,   4.00,      6, 8.264e+07, 5.965e+07, 3.443e+07,  39.23,   24.32,   12.40,     1.64,       0.41,       0.33
              MBBtest,   40.0,   5.00,      6, 8.227e+07, 4.493e+07, 3.246e+07,  40.58,   21.83,   11.70,     1.57,       0.40,       0.34
              MBBtest,   40.0,   6.00,      6, 8.454e+07, 4.700e+07, 3.110e+07,  38.63,   18.49,    9.41,     1.63,       0.38,       0.34
              MBBtest,   40.0,   7.00,      5, 8.599e+07, 9.191e+07, 3.683e+07,  37.74,   17.90,   10.21,     1.69,       0.36,       0.39
              MBBtest,   45.0,   0.00,     11, 1.023e+08, 1.599e+07, 1.459e+07,  42.53,    4.89,    3.89,     1.58,       0.07,       0.08
              MBBtest,   45.0,   1.00,      9, 9.357e+07, 4.318e+07, 3.803e+07,  44.21,   22.95,   10.89,     1.56,       0.19,       0.17
              MBBtest,   45.0,   2.00,      8, 9.444e+07, 2.492e+07, 2.559e+07,  42.88,   13.82,    7.60,     1.59,       0.19,       0.20
              MBBtest,   45.0,   3.00,      7, 9.091e+07, 2.836e+07, 2.681e+07,  42.67,   17.28,    8.50,     1.62,       0.24,       0.26
              MBBtest,   45.0,   4.00,      6, 1.036e+08, 6.834e+07, 4.376e+07,  37.33,   21.89,   11.38,     1.74,       0.38,       0.32
              MBBtest,   45.0,   5.00,      6, 8.259e+07, 5.073e+07, 3.360e+07,  44.60,   27.52,   13.75,     1.61,       0.40,       0.35
